PTW Request ID,Circle,Feeder,Status,Request Date,Start Date
22161,Zirakpur,LALRU RURAL  Kandi Pure AP(FL23),Cancellation Request Approved (Permit not active),2026-07-27T14:11:40Z,2026-07-27T14:09:00Z
22160,MUKATSAR,11 KV TARA ESTATE(FL09),Cancellation Request Approved (Permit not active),2026-07-27T14:10:17Z,2026-07-27T14:09:00Z
22159,SANGRUR,MOURAN A+B (GRID DIRBA)(FL02),Cancellation Request Approved (Permit not active),2026-07-27T14:03:04Z,2026-07-27T14:02:00Z
22158,CITY AMRITSAR,SHIVALA ROAD(FL09),Cancellation Request Approved (Permit not active),2026-07-27T13:55:42Z,2026-07-27T13:55:00Z
22157,Zirakpur,Dehar. Cat. 1(FL21),Cancellation Request Approved (Permit not active),2026-07-27T13:53:16Z,2026-07-27T13:51:00Z
22156,KHANNA,RAM RAJAYA(FL12),Cancellation Request Approved (Permit not active),2026-07-27T13:51:37Z,2026-07-27T13:50:00Z
22155,SUB URBAN AMRITSAR,Sethan Wala(FL17),Cancellation Request Approved (Permit not active),2026-07-27T13:49:17Z,2026-07-27T13:47:00Z
22154,PATIALA,BSNL(FL07),Cancellation Request Approved (Permit not active),2026-07-27T13:32:28Z,2026-07-27T13:21:00Z
22153,Zirakpur,URBAN-3 DERABASSI(FL34),Cancellation Request Approved (Permit not active),2026-07-27T13:11:01Z,2026-07-27T13:09:00Z
22152,PATIALA,Lutki Majara(FL01),Cancellation Request Approved (Permit not active),2026-07-27T12:34:49Z,2026-07-27T12:32:00Z
22151,BARNALA,"LOHA BAZAR(FL20), SIRGANGARAM(FL12)",Cancellation Request Approved (Permit not active),2026-07-27T12:34:40Z,2026-07-27T12:34:00Z
22150,SANGRUR,"UPS KHANOURI(FL03), BHULLAN(FL14), 24 HRS. MAHASINGHWALA(FL07)",Cancellation Request Approved (Permit not active),2026-07-27T12:34:38Z,2026-07-27T12:33:00Z
22149,SANGRUR,11KV UPS TOGAWAL(FL08),Cancellation Request Approved (Permit not active),2026-07-27T12:19:23Z,2026-07-27T12:18:00Z
22148,JALANDHAR,CANAL(FL11),Cancellation Request Approved (Permit not active),2026-07-27T12:05:54Z,2026-07-27T12:04:00Z
22147,CITY WEST LUDHIANA,Aman Park(FL03),Cancellation Request Approved (Permit not active),2026-07-27T12:01:29Z,2026-07-27T11:59:00Z
22146,SANGRUR,UPS Guru Nanak Nagar(FL15),Cancellation Request Approved (Permit not active),2026-07-27T11:35:52Z,2026-07-27T11:35:00Z
22145,KHANNA,MALERKOTLA ROAD(FL01),Cancellation Request Approved (Permit not active),2026-07-27T11:28:50Z,2026-07-27T11:28:00Z
22144,CITY WEST LUDHIANA,Ranchi Colony(D028),Cancellation Request Approved (Permit not active),2026-07-27T11:20:02Z,2026-07-27T11:19:00Z
22143,SANGRUR,NANKIANA SAHIB(FL04),Cancellation Request Approved (Permit not active),2026-07-27T11:19:05Z,2026-07-27T11:18:00Z
22142,Zirakpur,LALRU MANDI(FL12),Cancellation Request Approved (Permit not active),2026-07-27T10:46:02Z,2026-07-27T10:44:00Z
22141,CITY WEST LUDHIANA,Kiran Vihar(FL20),Cancellation Request Approved (Permit not active),2026-07-27T10:32:35Z,2026-07-27T10:31:00Z
22140,JALANDHAR,INDUSTRIAL AREA 2(FL17),Cancellation Request Approved (Permit not active),2026-07-27T10:11:31Z,2026-07-27T10:10:00Z
22139,KHANNA,RAM RAJAYA(FL12),Cancellation Request Approved (Permit not active),2026-07-27T09:55:23Z,2026-07-27T09:54:00Z
22138,SANGRUR,11 KV DHADRIAN URBAN(FL03),Cancellation Request Approved (Permit not active),2026-07-27T09:18:03Z,2026-07-27T09:17:00Z
22137,MUKATSAR,"BAHAVAL BASI(FL04), 11 KV Buraj Muhar(FL15), 11 KV GOBIND GARH(FL03), 11 KV MALOUT ROAD(FL07)",Cancellation Request Approved (Permit not active),2026-07-27T09:11:57Z,2026-07-27T09:11:00Z
22136,SANGRUR,"11KV KHIWA KHURD AP(FL06), HEERON KALAN AP(FL12)",Cancellation Request Approved (Permit not active),2026-07-27T08:52:55Z,2026-07-27T08:50:00Z
22135,FARIDKOT,SAMAGH UPS(FL02),Cancellation Request Approved (Permit not active),2026-07-27T04:53:11Z,2026-07-27T04:51:00Z
22134,MUKATSAR,11 KV KANDHWALA UPS(FL06),Cancellation Request Approved (Permit not active),2026-07-26T22:37:02Z,2026-07-26T22:36:00Z
22133,MUKATSAR,11 KV Dhani Bisehesarnath(FL02),Cancellation Request Approved (Permit not active),2026-07-26T22:33:02Z,2026-07-26T22:31:00Z
22132,MUKATSAR,BAHAVAL BASI(FL04),Cancellation Request Approved (Permit not active),2026-07-26T20:39:34Z,2026-07-26T20:38:00Z
22131,KHANNA,GT ROAD(FL04),Permit Request Submitted (Permit not active),2026-07-26T17:56:46Z,2026-07-26T17:51:00Z
22130,MUKATSAR,"MAUJGARH(FL05), DALMIR KHERA(FL01), DAULATPURA UPS(FL08)",Cancellation Request Approved (Permit not active),2026-07-26T16:04:35Z,2026-07-26T16:03:00Z
22129,MUKATSAR,PANJKOSI(FL06),Cancellation Request Approved (Permit not active),2026-07-26T14:27:46Z,2026-07-26T14:27:00Z
22128,GURDASPUR,Sadhuchack(FL04),Cancellation Request Approved (Permit not active),2026-07-26T14:00:43Z,2026-07-26T13:59:00Z
22127,MUKATSAR,HARIPURA(FL02),Cancellation Request Approved (Permit not active),2026-07-26T13:29:43Z,2026-07-26T13:28:00Z
22126,SUB URBAN AMRITSAR,Urban Estate(B801),Cancellation Request Approved (Permit not active),2026-07-26T12:37:08Z,2026-07-26T12:35:00Z
22125,MUKATSAR,FAZILKA ROAD(FL05),Cancellation Request Approved (Permit not active),2026-07-26T12:14:54Z,2026-07-26T12:13:00Z
22124,MUKATSAR,DAULATPURA UPS(FL08),Cancellation Request Approved (Permit not active),2026-07-26T11:27:19Z,2026-07-26T11:26:00Z
22123,MUKATSAR,11 KV Rajiv Nagar(FL16),Cancellation Request Approved (Permit not active),2026-07-26T11:14:00Z,2026-07-26T11:12:00Z
22122,FARIDKOT,ITI(FL05),Cancellation Request Approved (Permit not active),2026-07-25T22:55:24Z,2026-07-25T22:54:00Z
22121,KHANNA,kherinoudhsingh(FL13),Cancellation Request Approved (Permit not active),2026-07-25T22:15:18Z,2026-07-25T22:14:00Z
22120,FEROZPUR,AMAR TAKIS(FL14),Cancellation Request Approved (Permit not active),2026-07-25T18:49:21Z,2026-07-25T18:48:00Z
22119,SUB URBAN AMRITSAR,TEJ ALLOYS(FL17),Permit Request Submitted (Permit not active),2026-07-25T17:38:25Z,2026-07-25T17:36:00Z
22118,MUKATSAR,"Bus Stand Road(FL18), 11 KV Town(FL08)",Cancellation Request Approved (Permit not active),2026-07-25T16:11:40Z,2026-07-25T16:10:00Z
22117,MUKATSAR,11 KV TARA ESTATE(FL09),Cancellation Request Approved (Permit not active),2026-07-25T15:59:21Z,2026-07-25T15:58:00Z
22116,MUKATSAR,"11 KV SARDARPURA UPS(FL06), 11 KV Bhagsar UPS(FL07)",Cancellation Request Approved (Permit not active),2026-07-25T15:13:20Z,2026-07-25T15:12:00Z
22115,KHANNA,"PAGRO(FL22), NABIPUR(FL11)",Cancellation Request Approved (Permit not active),2026-07-25T14:33:25Z,2026-07-25T14:31:00Z
22114,MUKATSAR,PANJKOSI(FL06),Cancellation Request Approved (Permit not active),2026-07-25T13:20:30Z,2026-07-25T13:20:00Z
22113,MUKATSAR,11 KV Sappan wali(FL11),Cancellation Request Approved (Permit not active),2026-07-25T12:56:12Z,2026-07-25T12:54:00Z
22112,MUKATSAR,11 KV MALOUT ROAD(FL07),Cancellation Request Approved (Permit not active),2026-07-25T12:45:09Z,2026-07-25T12:44:00Z
22111,MUKATSAR,11 KV Panjpeer Nagar(FL17),Cancellation Request Approved (Permit not active),2026-07-25T11:19:46Z,2026-07-25T11:16:00Z
22110,MUKATSAR,"11 KV Focal Point-1(FL14), 11 KV Focal Point-2(FL15), 11 KV GANGA NAGAR ROAD(FL01), 11 KV RIDHI SIDHI URBAN(FL13)",Cancellation Request Approved (Permit not active),2026-07-25T11:11:26Z,2026-07-25T11:10:00Z
22109,MUKATSAR,"11 KV Buraj Muhar(FL15), 11 KV GOBIND GARH(FL03), BAHAVAL BASI(FL04)",Cancellation Request Approved (Permit not active),2026-07-25T10:30:31Z,2026-07-25T10:29:00Z
22108,PATIALA,SARHIND ROAD(FL08),Cancellation Request Approved (Permit not active),2026-07-24T21:58:29Z,2026-07-24T21:56:00Z
22107,MUKATSAR,11 KV KHATWAN(FL03),Cancellation Request Approved (Permit not active),2026-07-24T20:10:07Z,2026-07-24T20:09:00Z
22106,KHANNA,Prem Nagar(FL05),Cancellation Request Approved (Permit not active),2026-07-24T19:18:47Z,2026-07-24T19:16:00Z
22105,JALANDHAR,VIVEKANAND(FL09),Permit Request Submitted (Permit not active),2026-07-24T16:57:50Z,2026-07-24T16:55:00Z
22104,MUKATSAR,Namdev Nagar(FL07),Cancellation Request Approved (Permit not active),2026-07-24T16:23:30Z,2026-07-24T16:22:00Z
22103,MUKATSAR,11 KV NANAK NAGRI(FL20),Cancellation Request Approved (Permit not active),2026-07-24T15:52:24Z,2026-07-24T15:51:00Z
22102,MUKATSAR,"MAUJGARH(FL05), DALMIR KHERA(FL01)",Cancellation Request Approved (Permit not active),2026-07-24T15:39:56Z,2026-07-24T15:39:00Z
22101,MUKATSAR,"BAHAVAL BASI(FL04), 11 KV Buraj Muhar(FL15)",Cancellation Request Approved (Permit not active),2026-07-24T15:39:08Z,2026-07-24T15:37:00Z
22100,MUKATSAR,"11 KV Bhagsar UPS(FL07), 11 KB BAZIDPURA(FL05)",Cancellation Request Approved (Permit not active),2026-07-24T15:18:37Z,2026-07-24T15:18:00Z
22099,MUKATSAR,11 KV South Avenue(FL01),Cancellation Request Approved (Permit not active),2026-07-24T14:59:45Z,2026-07-24T14:59:00Z
22098,FARIDKOT,FCI URBAN(FL09),Cancellation Request Approved (Permit not active),2026-07-24T14:13:34Z,2026-07-24T14:12:00Z
22097,MUKATSAR,FAZILKA ROAD(FL05),Cancellation Request Approved (Permit not active),2026-07-24T14:13:16Z,2026-07-24T14:12:00Z
22096,JALANDHAR,TOWER(FL02),Cancellation Request Approved (Permit not active),2026-07-24T14:07:57Z,2026-07-24T14:07:00Z
22095,MUKATSAR,PANJKOSI(FL06),Cancellation Request Approved (Permit not active),2026-07-24T12:56:43Z,2026-07-24T12:56:00Z
22094,MUKATSAR,BAHAVAL BASI(FL04),Cancellation Request Approved (Permit not active),2026-07-24T12:32:05Z,2026-07-24T12:31:00Z
22093,Zirakpur,LALRU CITY(FL22),Cancellation Request Approved (Permit not active),2026-07-24T10:50:28Z,2026-07-24T10:48:00Z
22092,MUKATSAR,11 KV RIDHI SIDHI URBAN(FL13),Cancellation Request Approved (Permit not active),2026-07-24T10:24:39Z,2026-07-24T10:23:00Z
22091,MUKATSAR,"11 KV SARDARPURA UPS(FL06), 11 KV Bhagsar UPS(FL07)",Cancellation Request Approved (Permit not active),2026-07-24T10:23:02Z,2026-07-24T10:21:00Z
22090,JALANDHAR,BASANT HILLS(FL10),Cancellation Request Approved (Permit not active),2026-07-24T10:20:23Z,2026-07-24T10:19:00Z
22089,MUKATSAR,11 KV Jodhpur(FL01),Cancellation Request Approved (Permit not active),2026-07-24T10:17:54Z,2026-07-24T10:17:00Z
22088,JALANDHAR,11kv Nangal shama(FL40),Cancellation Request Approved (Permit not active),2026-07-24T10:11:35Z,2026-07-24T10:11:00Z
22087,JALANDHAR,RAJA GARDEN(FL08),Cancellation Request Approved (Permit not active),2026-07-24T09:51:56Z,2026-07-24T09:51:00Z
22086,PATIALA,UPS(FL04),Cancellation Request Approved (Permit not active),2026-07-24T09:46:02Z,2026-07-24T09:45:00Z
22085,MUKATSAR,11 KV Rajiv Nagar(FL16),Cancellation Request Approved (Permit not active),2026-07-24T07:53:04Z,2026-07-24T07:52:00Z
22084,MUKATSAR,"11 KV NAI ABADI(FL04), 11 KV SIDHU NAGRI(FL05), 11 KV GANGA NAGAR ROAD(FL01), 11 KV KANDHWALA Road Urban(FL10)",Cancellation Request Approved (Permit not active),2026-07-24T06:34:25Z,2026-07-24T06:32:00Z
22083,FARIDKOT,SAMAGH UPS(FL02),Cancellation Request Approved (Permit not active),2026-07-24T06:32:41Z,2026-07-24T06:31:00Z
22082,MUKATSAR,11 KV Azimgarh Urban(FL03),Cancellation Request Approved (Permit not active),2026-07-23T22:22:50Z,2026-07-23T22:22:00Z
22081,KHANNA,kherinoudhsingh(FL13),Cancellation Request Approved (Permit not active),2026-07-23T22:18:21Z,2026-07-23T22:17:00Z
22080,MUKATSAR,11 KV Azimgarh Urban(FL03),Cancellation Request Approved (Permit not active),2026-07-23T18:15:06Z,2026-07-23T18:14:00Z
22079,JALANDHAR,"LADHAYWALI(FL03), ME LAB(FL)",Cancellation Request Approved (Permit not active),2026-07-23T17:45:22Z,2026-07-23T17:43:00Z
22078,MUKATSAR,11 KV Malookpura UPS(FL02),Cancellation Request Approved (Permit not active),2026-07-23T17:38:44Z,2026-07-23T17:38:00Z
22077,Zirakpur,DAPPAR(FL16),Cancellation Request Approved (Permit not active),2026-07-23T17:26:28Z,2026-07-23T17:16:00Z
22076,Zirakpur,Hasanpur UPS(FL24),Cancellation Request Approved (Permit not active),2026-07-23T17:11:42Z,2026-07-23T17:05:00Z
22073,Zirakpur,JEOLY(FL08),Cancellation Request Approved (Permit not active),2026-07-23T16:59:31Z,2026-07-23T16:58:00Z
22072,MUKATSAR,CANT ROAD(FL26),Cancellation Request Approved (Permit not active),2026-07-23T16:52:34Z,2026-07-23T16:51:00Z
22071,MUKATSAR,"11 KV Bhagsar UPS(FL07), 11 KB BAZIDPURA(FL05)",Cancellation Request Approved (Permit not active),2026-07-23T14:14:50Z,2026-07-23T14:14:00Z
22070,PATIALA,Kauli - 2(FL03),Cancellation Request Approved (Permit not active),2026-07-23T14:12:53Z,2026-07-23T14:12:00Z
22069,MUKATSAR,"11 KB BAZIDPURA(FL05), 11 KV Bhagsar UPS(FL07)",Rejected BY SSA/SSO,2026-07-23T13:59:48Z,2026-07-23T13:59:00Z
22068,MUKATSAR,11 KV SITO(FL03),Cancellation Request Approved (Permit not active),2026-07-23T13:57:11Z,2026-07-23T13:56:00Z
22067,MUKATSAR,11 KV Azimgarh Urban(FL03),Cancellation Request Approved (Permit not active),2026-07-23T13:39:40Z,2026-07-23T13:39:00Z
22066,MUKATSAR,11 KV SIDHU NAGRI(FL05),Rejected BY SSA/SSO,2026-07-23T13:37:39Z,2026-07-23T13:37:00Z
22065,MUKATSAR,PANJKOSI(FL06),Cancellation Request Approved (Permit not active),2026-07-23T13:37:08Z,2026-07-23T13:35:00Z
22064,MUKATSAR,11 KV New Water Works -2(FL06),Cancellation Request Approved (Permit not active),2026-07-23T13:28:03Z,2026-07-23T13:27:00Z
22063,JALANDHAR,BABA MANDIR 132KV FOCAL POINT(FL05),Rejected BY SSA/SSO,2026-07-23T12:58:33Z,2026-07-23T12:57:00Z
22062,MUKATSAR,11 KV Rajiv Nagar(FL16),Cancellation Request Approved (Permit not active),2026-07-23T12:54:34Z,2026-07-23T12:53:00Z
22061,MUKATSAR,11 KV GADDAN DOB(FL05),Rejected BY SSA/SSO,2026-07-23T12:02:56Z,2026-07-23T11:59:00Z
22060,Zirakpur,MUKANDPUR(FL03),Cancellation Request Approved (Permit not active),2026-07-23T11:12:01Z,2026-07-23T11:10:00Z
22059,MUKATSAR,"11 KV GANGA NAGAR ROAD(FL01), 11 KV Alamgarh(FL03)",Cancellation Request Approved (Permit not active),2026-07-23T10:59:24Z,2026-07-23T10:58:00Z
22058,MUKATSAR,"11 KV Alamgarh(FL03), 11 KV GANGA NAGAR ROAD(FL01)",Cancellation Request Approved (Permit not active),2026-07-23T10:19:44Z,2026-07-23T10:19:00Z
22057,CITY AMRITSAR,100 ft. ROAD(FL12),Cancellation Request Approved (Permit not active),2026-07-23T07:23:40Z,2026-07-23T07:22:00Z
22056,CITY AMRITSAR,11Kv NEW GOLDEN AVENUE(FL03),Cancellation Request Approved (Permit not active),2026-07-22T20:43:05Z,2026-07-22T20:42:00Z
22055,MUKATSAR,"11 KV Dhani Bisehesarnath(FL02), 11 KV Azimgarh Urban(FL03)",Cancellation Request Approved (Permit not active),2026-07-22T19:22:40Z,2026-07-22T19:22:00Z
22054,GURDASPUR,CITY AWANKHA(FL14),Cancellation Request Approved (Permit not active),2026-07-22T19:21:16Z,2026-07-22T19:20:00Z
22053,GURDASPUR,Ranipur(FL03),Cancellation Request Approved (Permit not active),2026-07-22T18:55:51Z,2026-07-22T18:55:00Z
22052,GURDASPUR,"City Thana(FL17), City-1(FLO1)",Cancellation Request Approved (Permit not active),2026-07-22T17:19:29Z,2026-07-22T17:18:00Z
22051,MUKATSAR,11 KV SIDHU NAGRI(FL05),Cancellation Request Approved (Permit not active),2026-07-22T16:58:06Z,2026-07-22T16:57:00Z
22050,MUKATSAR,"11 KV GANGA NAGAR ROAD(FL01), 11 KV Alamgarh(FL03)",Cancellation Request Approved (Permit not active),2026-07-22T16:48:59Z,2026-07-22T16:48:00Z
22049,MUKATSAR,"Kerian AP(FL07), UPS Mandi Hazoor Singh(FL20)",Cancellation Request Approved (Permit not active),2026-07-22T16:24:38Z,2026-07-22T16:23:00Z
22048,MUKATSAR,JANDWALA HANUWANTA(FL02),Cancellation Request Approved (Permit not active),2026-07-22T16:23:44Z,2026-07-22T16:23:00Z
22047,MUKATSAR,11 KV Punjava Model(FL06),Cancellation Request Approved (Permit not active),2026-07-22T16:15:30Z,2026-07-22T16:14:00Z
22046,GURDASPUR,Madhopur(FL11),Cancellation Request Approved (Permit not active),2026-07-22T16:14:17Z,2026-07-22T16:13:00Z
22045,GURDASPUR,CITY-3(FL15),Cancellation Request Approved (Permit not active),2026-07-22T16:13:57Z,2026-07-22T16:11:00Z
22044,SUB URBAN AMRITSAR,AJNALA ROAD(FL06),Cancellation Request Approved (Permit not active),2026-07-22T16:06:51Z,2026-07-22T16:04:00Z
22043,KAPURTHALA,"AHEMADPUR(FL09), Wadala UPS(FL14)",Cancellation Request Approved (Permit not active),2026-07-22T15:28:27Z,2026-07-22T15:26:00Z
22042,GURDASPUR,Pioneer Agro(FL10),Cancellation Request Approved (Permit not active),2026-07-22T15:22:50Z,2026-07-22T15:22:00Z
22041,FARIDKOT,ITI(FL05),Cancellation Request Approved (Permit not active),2026-07-22T15:01:38Z,2026-07-22T15:00:00Z
22040,GURDASPUR,"GHO(FL08), Islampur No. 1(FL17)",Cancellation Request Approved (Permit not active),2026-07-22T11:48:03Z,2026-07-22T11:47:00Z
22039,GURDASPUR,"Azizpur(FL03), Behrian(FL13)",Cancellation Request Approved (Permit not active),2026-07-22T11:40:51Z,2026-07-22T11:39:00Z
22038,Zirakpur,DEEPAK PIPE(FL10),Cancellation Request Approved (Permit not active),2026-07-22T11:35:52Z,2026-07-22T11:32:00Z
22037,FARIDKOT,Zira Road(FL03),Cancellation Request Approved (Permit not active),2026-07-22T11:34:03Z,2026-07-22T11:33:00Z
22036,MUKATSAR,"11 KV GANGA NAGAR ROAD(FL01), 11 KV Alamgarh(FL03)",Cancellation Request Approved (Permit not active),2026-07-22T11:30:03Z,2026-07-22T11:29:00Z
22035,SUB URBAN AMRITSAR,"Sethan Wala(FL17), MAJITHA(FL11)",Cancellation Request Approved (Permit not active),2026-07-22T11:21:55Z,2026-07-22T11:20:00Z
22034,JALANDHAR,SEMI(FL11),Cancellation Request Approved (Permit not active),2026-07-22T11:12:25Z,2026-07-22T11:02:00Z
22033,MUKATSAR,Sajrana UPS(FL06),Cancellation Request Approved (Permit not active),2026-07-22T11:06:25Z,2026-07-22T11:05:00Z
22030,MUKATSAR,DAULATPURA UPS(FL08),Cancellation Request Approved (Permit not active),2026-07-22T10:23:20Z,2026-07-22T10:22:00Z
22029,GURDASPUR,Ranipur(FL03),Cancellation Request Approved (Permit not active),2026-07-22T09:52:25Z,2026-07-22T09:51:00Z
22028,PATIALA,UPS(FL04),Cancellation Request Approved (Permit not active),2026-07-22T09:40:50Z,2026-07-22T09:37:00Z
22027,JALANDHAR,11KV GANDHI CAMP(FL13),Cancellation Request Approved (Permit not active),2026-07-22T09:37:16Z,2026-07-22T09:36:00Z
22026,Zirakpur,LALRU CITY(FL22),Cancellation Request Approved (Permit not active),2026-07-22T08:29:33Z,2026-07-22T08:27:00Z
22025,Zirakpur,LALRU CITY(FL22),Rejected BY SSA/SSO,2026-07-22T08:25:06Z,2026-07-22T08:22:00Z
22024,JALANDHAR,"LADHAYWALI(FL03), ME LAB(FL)",Cancellation Request Approved (Permit not active),2026-07-22T03:46:21Z,2026-07-22T03:45:00Z
22023,MUKATSAR,"JANDWALA HANUWANTA(FL02), 11 KALLER KHERA(FL01)",Cancellation Request Approved (Permit not active),2026-07-21T22:25:44Z,2026-07-21T22:25:00Z
22022,MUKATSAR,INDRA NAGRI(FL07),Cancellation Request Approved (Permit not active),2026-07-21T20:20:02Z,2026-07-21T20:17:00Z
22021,MUKATSAR,"11 KV Bhagsar UPS(FL07), 11 KV SARDARPURA UPS(FL06)",Cancellation Request Approved (Permit not active),2026-07-21T19:43:20Z,2026-07-21T19:42:00Z
22020,MUKATSAR,"11 KV Danewala AP(FL06), New Patrewala UPS(FL05)",Cancellation Request Approved (Permit not active),2026-07-21T18:58:46Z,2026-07-21T18:58:00Z
22019,GURDASPUR,CITY AWANKHA(FL14),Cancellation Request Approved (Permit not active),2026-07-21T18:52:17Z,2026-07-21T18:51:00Z
22018,GURDASPUR,"Saidipur(FL02), Manj(FL08)",Cancellation Request Approved (Permit not active),2026-07-21T18:51:38Z,2026-07-21T18:50:00Z
