outage_id,Zone,Circle,Feeder,Type of Outage,Status,Start Time,End Time,Diff in mins
1873650,Central,KHANNA,Dittupur,Unplanned,Active,2026-06-07T12:15:55Z,2026-06-07T13:50:23Z,94
1873646,South,SANGRUR,Bangawali,Unplanned,Active,2026-06-07T12:15:52Z,2026-06-07T13:15:04Z,59
1873647,East,Zirakpur,DEEPAK PIPE,Unplanned,Active,2026-06-07T12:15:00Z,2026-06-07T12:45:00Z,30
1873649,North,NAWANSHAHR,TEHSIL COMPLEX GSR,Unplanned,Active,2026-06-07T12:13:00Z,2026-06-07T14:13:00Z,120
1873644,North,NAWANSHAHR,TEHSIL COMPLEX,Unplanned,Closed,2026-06-07T12:13:00Z,2026-06-07T12:14:00Z,1
1873643,East,Zirakpur,MAHIWALA,Planned,Active,2026-06-07T12:10:00Z,2026-06-07T14:00:00Z,110
1873642,East,MOHALI,11KV PATTON AP,Unplanned,Active,2026-06-07T12:10:00Z,2026-06-07T13:10:00Z,60
1873641,East,Zirakpur,ATS Feeder,Planned,Active,2026-06-07T12:10:00Z,2026-06-07T14:00:00Z,110
1873640,East,Zirakpur,DERABASSI URBAN II,Planned,Active,2026-06-07T12:10:00Z,2026-06-07T14:00:00Z,110
1873639,East,MOHALI,11KV LANDCHESTER,Unplanned,Active,2026-06-07T12:10:00Z,2026-06-07T13:10:00Z,60
1873638,East,Zirakpur,URBAN-3 DERABASSI,Planned,Active,2026-06-07T12:10:00Z,2026-06-07T14:00:00Z,110
1873636,East,Zirakpur,ATS-2,Planned,Active,2026-06-07T12:10:00Z,2026-06-07T14:00:00Z,110
1873633,Central,KHANNA,Sahpur,Planned,Active,2026-06-07T12:10:00Z,2026-06-07T15:00:00Z,170
1873632,Central,KHANNA,DANA MANDI,Planned,Active,2026-06-07T12:10:00Z,2026-06-07T15:00:00Z,170
1873648,South,PATIALA,BABA DEEP SINGH,Unplanned,Active,2026-06-07T12:05:00Z,2026-06-07T13:29:00Z,84
1873637,North,JALANDHAR,NIHAL GARGH,Unplanned,Active,2026-06-07T12:05:00Z,2026-06-07T13:00:00Z,55
1873634,West,BATHINDA,KISSAN UPS,Planned,Active,2026-06-07T12:02:00Z,2026-06-07T14:00:00Z,118
1873631,Central,CITY WEST LUDHIANA,LARK FEEDER,Planned,Active,2026-06-07T12:00:00Z,2026-06-07T16:00:00Z,240
1873629,East,MOHALI,11KV EYE HOSPITAL,Planned,Active,2026-06-07T12:00:00Z,2026-06-07T14:00:00Z,120
1873620,South,BARNALA,SHARMAN STEEL ADP ROAD IND-2,Planned,Active,2026-06-07T12:00:00Z,2026-06-07T17:17:56Z,317
1873619,South,BARNALA,HOSPITAL,Planned,Active,2026-06-07T12:00:00Z,2026-06-07T17:16:58Z,316
1873618,South,BARNALA,Industrial-I,Planned,Active,2026-06-07T12:00:00Z,2026-06-07T17:16:33Z,316
1873635,West,BATHINDA,AHLUPUR,Unplanned,Active,2026-06-07T11:55:00Z,2026-06-07T14:00:00Z,125
1873628,North,NAWANSHAHR,11KV GHATARON,Unplanned,Active,2026-06-07T11:55:00Z,2026-06-07T12:33:00Z,38
1873627,West,MUKATSAR,11 Kv Jandia,Unplanned,Active,2026-06-07T11:51:00Z,2026-06-07T14:00:00Z,129
1873630,South,BARNALA,SANDHU KALAN UPS,Unplanned,Active,2026-06-07T11:45:00Z,2026-06-07T14:00:00Z,135
1873626,North,JALANDHAR,GOLDEN AVENUE,Unplanned,Closed,2026-06-07T11:45:00Z,2026-06-07T12:07:00Z,22
1873625,Border,GURDASPUR,Mangial,Unplanned,Active,2026-06-07T11:45:00Z,2026-06-07T12:40:00Z,55
1873623,Border,GURDASPUR,Chakral,Unplanned,Active,2026-06-07T11:45:00Z,2026-06-07T12:40:00Z,55
1873622,Border,GURDASPUR,Malpur,Unplanned,Active,2026-06-07T11:45:00Z,2026-06-07T12:40:00Z,55
1873617,East,Zirakpur,MIAN PUR,Unplanned,Active,2026-06-07T11:45:00Z,2026-06-07T12:15:00Z,30
1873615,Border,TARN TARAN,RAYYA BACK FEEDING,Unplanned,Active,2026-06-07T11:40:30Z,2026-06-07T15:30:00Z,229
1873621,North,JALANDHAR,KADIAN,Unplanned,Active,2026-06-07T11:39:00Z,2026-06-07T12:40:00Z,61
1873616,West,MUKATSAR,KRISHNA NAGRI,Unplanned,Active,2026-06-07T11:36:00Z,2026-06-07T12:35:00Z,59
1873610,West,BATHINDA,Burj Dhilwan,Unplanned,Active,2026-06-07T11:33:00Z,2026-06-07T13:00:00Z,87
1873612,South,SANGRUR,11 KV MAYA GARDEN,Unplanned,Active,2026-06-07T11:32:00Z,2026-06-07T13:00:00Z,88
1873614,West,BATHINDA,NEHIAN WALA,Unplanned,Active,2026-06-07T11:31:00Z,2026-06-07T14:00:00Z,149
1873613,West,BATHINDA,Balahar Vinju,Unplanned,Active,2026-06-07T11:31:00Z,2026-06-07T14:00:00Z,149
1873606,West,BATHINDA,Aehmadpur UPS,Unplanned,Active,2026-06-07T11:30:00Z,2026-06-07T13:00:00Z,90
1873605,West,FARIDKOT,JHARI WALA,Unplanned,Active,2026-06-07T11:27:26Z,2026-06-07T13:26:00Z,118
1873602,West,FARIDKOT,11 KV GURU ANGAD DEV G UPS,Unplanned,Active,2026-06-07T11:27:26Z,2026-06-07T13:26:00Z,118
1873598,West,MUKATSAR,Tarobri,Unplanned,Closed,2026-06-07T11:26:00Z,2026-06-07T11:45:14Z,19
1873604,North,HOSHIARPUR,11kv kotli,Unplanned,Active,2026-06-07T11:25:00Z,2026-06-07T12:25:00Z,60
1873603,North,HOSHIARPUR,11kV Jandwal UPS,Unplanned,Active,2026-06-07T11:25:00Z,2026-06-07T12:25:00Z,60
1873597,Border,GURDASPUR,Taragarh,Unplanned,Closed,2026-06-07T11:25:00Z,2026-06-07T11:50:00Z,25
1873594,Border,GURDASPUR,Saidipur,Unplanned,Closed,2026-06-07T11:25:00Z,2026-06-07T11:50:00Z,25
1873609,West,FARIDKOT,KOTKAPURA ROAD,Unplanned,Active,2026-06-07T11:24:00Z,2026-06-07T13:00:00Z,96
1873608,West,FARIDKOT,HARDIAL NAGAR,Unplanned,Active,2026-06-07T11:24:00Z,2026-06-07T13:00:00Z,96
1873601,Central,CITY WEST LUDHIANA,SUDHIR FORGING,Planned,Active,2026-06-07T11:21:00Z,2026-06-07T14:30:00Z,189
1873600,Central,CITY WEST LUDHIANA,Gobind Rubber-2 New,Planned,Active,2026-06-07T11:21:00Z,2026-06-07T14:30:00Z,189
1873599,Central,CITY WEST LUDHIANA,OSWAL ALLOY,Planned,Active,2026-06-07T11:21:00Z,2026-06-07T14:30:00Z,189
1873593,Central,CITY WEST LUDHIANA,V K CONCAST,Planned,Active,2026-06-07T11:21:00Z,2026-06-07T14:30:00Z,189
1873591,Central,CITY WEST LUDHIANA,Texla Road,Planned,Active,2026-06-07T11:21:00Z,2026-06-07T14:30:00Z,189
1873590,Central,CITY WEST LUDHIANA,S.B.J,Planned,Active,2026-06-07T11:21:00Z,2026-06-07T14:30:00Z,189
1873589,Central,CITY WEST LUDHIANA,DEMARTE,Planned,Active,2026-06-07T11:21:00Z,2026-06-07T14:30:00Z,189
1873588,Central,CITY WEST LUDHIANA,MJ Rubber,Planned,Active,2026-06-07T11:21:00Z,2026-06-07T14:30:00Z,189
1873587,Central,CITY WEST LUDHIANA,KANGANWAL,Planned,Active,2026-06-07T11:21:00Z,2026-06-07T14:30:00Z,189
1873586,Central,CITY WEST LUDHIANA,VISHKARMA,Planned,Active,2026-06-07T11:21:00Z,2026-06-07T14:30:00Z,189
1873585,Central,CITY WEST LUDHIANA,VAIDYA ALLOY,Planned,Active,2026-06-07T11:21:00Z,2026-06-07T14:30:00Z,189
1873584,Central,CITY WEST LUDHIANA,KL Ispat,Planned,Active,2026-06-07T11:21:00Z,2026-06-07T14:30:00Z,189
1873583,Central,CITY WEST LUDHIANA,D.M.K,Planned,Active,2026-06-07T11:21:00Z,2026-06-07T14:30:00Z,189
1873582,Central,CITY WEST LUDHIANA,DURGA CONCAST,Planned,Active,2026-06-07T11:21:00Z,2026-06-07T14:30:00Z,189
1873581,Central,CITY WEST LUDHIANA,Pawa Road,Planned,Active,2026-06-07T11:21:00Z,2026-06-07T14:30:00Z,189
1873580,Central,CITY WEST LUDHIANA,PROMINENT,Planned,Active,2026-06-07T11:21:00Z,2026-06-07T14:30:00Z,189
1873579,Central,CITY WEST LUDHIANA,NORTH STAR,Planned,Active,2026-06-07T11:21:00Z,2026-06-07T14:30:00Z,189
1873578,Central,CITY WEST LUDHIANA,RAJ CASTING,Planned,Active,2026-06-07T11:21:00Z,2026-06-07T14:30:00Z,189
1873577,Central,CITY WEST LUDHIANA,Batta,Planned,Active,2026-06-07T11:21:00Z,2026-06-07T14:30:00Z,189
1873576,Central,CITY WEST LUDHIANA,KABIR EMPAX,Planned,Active,2026-06-07T11:21:00Z,2026-06-07T14:30:00Z,189
1873574,Central,CITY WEST LUDHIANA,ANAND MANGAL,Planned,Active,2026-06-07T11:21:00Z,2026-06-07T14:30:00Z,189
1873611,North,HOSHIARPUR,NARU NANGAL,Unplanned,Closed,2026-06-07T11:20:00Z,2026-06-07T11:58:00Z,38
1873596,North,JALANDHAR,Dhadde,Unplanned,Closed,2026-06-07T11:20:00Z,2026-06-07T11:40:00Z,20
1873592,North,NAWANSHAHR,JAINPUR,Unplanned,Active,2026-06-07T11:20:00Z,2026-06-07T13:20:00Z,120
1873570,West,FARIDKOT,CHEEMA,Unplanned,Active,2026-06-07T11:19:55Z,2026-06-07T13:19:58Z,120
1873572,West,BATHINDA,THERMAL UPS,Unplanned,Active,2026-06-07T11:19:00Z,2026-06-07T12:31:00Z,72
1873624,Border,GURDASPUR,Roranwali 24 hrs.,Unplanned,Active,2026-06-07T11:15:00Z,2026-06-07T13:15:00Z,120
1873575,Border,TARN TARAN,JAMA RAI UPS,Unplanned,Closed,2026-06-07T11:15:00Z,2026-06-07T12:05:00Z,50
1873569,South,SANGRUR,Dharampura,Planned,Active,2026-06-07T11:15:00Z,2026-06-07T14:00:00Z,165
1873595,East,MOHALI,Industrial 8A,Unplanned,Active,2026-06-07T11:10:00Z,2026-06-07T13:00:00Z,110
1873573,Border,GURDASPUR,Bamial,Unplanned,Closed,2026-06-07T11:10:00Z,2026-06-07T12:01:00Z,51
1873571,Border,GURDASPUR,Bamial 24hrs,Unplanned,Closed,2026-06-07T11:10:00Z,2026-06-07T12:01:00Z,51
1873568,Border,TARN TARAN,URBAN PATTI CITY,Unplanned,Active,2026-06-07T11:10:00Z,2026-06-07T13:00:00Z,110
1873567,Central,KHANNA,Alloona Miana,Planned,Active,2026-06-07T11:10:00Z,2026-06-07T12:00:00Z,50
1873607,South,SANGRUR,Bangawali,Unplanned,Active,2026-06-07T11:05:00Z,2026-06-07T14:00:00Z,175
1873566,South,SANGRUR,UPS Lehal Kalan,Unplanned,Active,2026-06-07T11:05:00Z,2026-06-07T13:00:00Z,115
1873563,South,SANGRUR,ROGLA (GRID DIRBA),Unplanned,Active,2026-06-07T11:00:00Z,2026-06-07T13:00:00Z,120
1873389,North,JALANDHAR,M.G.N,Planned,Active,2026-06-07T11:00:00Z,2026-06-07T12:00:00Z,60
1873385,North,JALANDHAR,11KV CHANDAN NAGAR,Planned,Active,2026-06-07T11:00:00Z,2026-06-07T12:00:00Z,60
1873382,North,JALANDHAR,JOSHI HOSPITAL,Planned,Active,2026-06-07T11:00:00Z,2026-06-07T12:00:00Z,60
1873379,North,JALANDHAR,HARNAM DASS PURA,Planned,Active,2026-06-07T11:00:00Z,2026-06-07T12:00:00Z,60
1873378,North,JALANDHAR,GAZZI GULLA,Planned,Active,2026-06-07T11:00:00Z,2026-06-07T12:00:00Z,60
1873377,North,JALANDHAR,Chowk Sudan,Planned,Active,2026-06-07T11:00:00Z,2026-06-07T12:00:00Z,60
1873376,North,JALANDHAR,Shitla Mandir,Planned,Active,2026-06-07T11:00:00Z,2026-06-07T12:00:00Z,60
1873364,North,JALANDHAR,11 Shaheed Babu Labh Singh Nagar,Planned,Active,2026-06-07T11:00:00Z,2026-06-07T12:00:00Z,60
1873357,North,JALANDHAR,D.I.C .. 1,Planned,Active,2026-06-07T11:00:00Z,2026-06-07T14:00:00Z,180
1873329,North,JALANDHAR,RAI PUR,Planned,Active,2026-06-07T11:00:00Z,2026-06-07T14:00:00Z,180
1873327,North,JALANDHAR,G.D.P.A.,Planned,Active,2026-06-07T11:00:00Z,2026-06-07T14:00:00Z,180
