outage_id,Zone,Circle,Feeder,Type of Outage,Status,Start Time,End Time,Diff in mins
1889380,West,FEROZPUR,ARSONAL,Planned,Active,2026-06-24T13:00:47Z,2026-06-24T17:00:47Z,240
1889379,West,FEROZPUR,RINGMAIN B,Planned,Active,2026-06-24T13:00:47Z,2026-06-24T17:00:47Z,240
1889378,West,FEROZPUR,CIVIL HOSPITAL,Planned,Active,2026-06-24T13:00:47Z,2026-06-24T17:00:47Z,240
1889377,West,FEROZPUR,11 KV NAMAK MANDI,Planned,Active,2026-06-24T13:00:47Z,2026-06-24T17:00:47Z,240
1889376,West,FEROZPUR, P&T,Planned,Active,2026-06-24T13:00:47Z,2026-06-24T17:00:47Z,240
1889366,West,FEROZPUR,BHAWARA AZAM SHAH,Planned,Active,2026-06-24T13:00:45Z,2026-06-24T17:00:45Z,240
1889365,West,FEROZPUR,UPS DHIRA PATRA,Planned,Active,2026-06-24T13:00:45Z,2026-06-24T17:00:45Z,240
1889364,West,FEROZPUR,JHAG GROUND,Planned,Active,2026-06-24T13:00:45Z,2026-06-24T17:00:45Z,240
1889363,West,FEROZPUR,FATU WALA UPS,Planned,Active,2026-06-24T13:00:45Z,2026-06-24T17:00:45Z,240
1889362,West,FEROZPUR,URBAN JHOKE HARI HAR,Planned,Active,2026-06-24T13:00:45Z,2026-06-24T17:00:45Z,240
1889361,West,FEROZPUR,KASU BEGHU,Planned,Active,2026-06-24T13:00:45Z,2026-06-24T17:00:45Z,240
1889360,West,FEROZPUR,URBAN MEHAMA,Planned,Active,2026-06-24T13:00:45Z,2026-06-24T17:00:45Z,240
1889385,West,FEROZPUR,11 KV INDUSTRIAL,Planned,Active,2026-06-24T13:00:43Z,2026-06-24T17:00:43Z,240
1889384,West,FEROZPUR,TIBBI KALAN,Planned,Active,2026-06-24T13:00:43Z,2026-06-24T17:00:43Z,240
1889383,West,FEROZPUR,PEERU WALA,Planned,Active,2026-06-24T13:00:43Z,2026-06-24T17:00:43Z,240
1889382,West,FEROZPUR,LAKHA HAZI UPS,Planned,Active,2026-06-24T13:00:43Z,2026-06-24T17:00:43Z,240
1889381,West,FEROZPUR,TIBBI KHURD G-5,Planned,Active,2026-06-24T13:00:43Z,2026-06-24T17:00:43Z,240
1889388,West,FEROZPUR,kallu arain,Planned,Active,2026-06-24T13:00:37Z,2026-06-24T17:00:37Z,240
1889387,West,FEROZPUR,G-5,Planned,Active,2026-06-24T13:00:37Z,2026-06-24T17:00:37Z,240
1889386,West,FEROZPUR,NANAKSIR,Planned,Active,2026-06-24T13:00:37Z,2026-06-24T17:00:37Z,240
1889374,West,FEROZPUR,MADHRE,Planned,Active,2026-06-24T13:00:33Z,2026-06-24T17:00:33Z,240
1889373,West,FEROZPUR,BOP,Planned,Active,2026-06-24T13:00:33Z,2026-06-24T17:00:33Z,240
1889372,West,FEROZPUR,Amritsari Gate,Planned,Active,2026-06-24T13:00:33Z,2026-06-24T17:00:33Z,240
1889371,West,FEROZPUR,Police Line,Planned,Active,2026-06-24T13:00:33Z,2026-06-24T17:00:33Z,240
1889370,West,FEROZPUR,UPS FEEDER,Planned,Active,2026-06-24T13:00:33Z,2026-06-24T17:00:33Z,240
1889369,West,FEROZPUR,HABIB WALA,Planned,Active,2026-06-24T13:00:33Z,2026-06-24T17:00:33Z,240
1889368,West,FEROZPUR,INDUSTRIAL,Planned,Active,2026-06-24T13:00:33Z,2026-06-24T17:00:33Z,240
1889408,Central,SUB URBAN LUDHIANA,PABBIAN UPS,Planned,Active,2026-06-24T12:00:00Z,2026-06-24T16:00:00Z,240
1889487,West,FEROZPUR,Police Line,Unplanned,Active,2026-06-24T11:50:00Z,2026-06-24T12:50:00Z,60
1889486,South,PATIALA,UPS 2,Unplanned,Active,2026-06-24T11:42:55Z,2026-06-24T12:20:04Z,37
1889485,South,PATIALA,POLA,Unplanned,Active,2026-06-24T11:42:47Z,2026-06-24T12:20:26Z,37
1889484,North,HOSHIARPUR,11 KV Banial Feeder,Unplanned,Active,2026-06-24T11:35:00Z,2026-06-24T12:05:00Z,30
1889483,West,FARIDKOT,SHAHEED BHAGAT SINGH NAGAR,Unplanned,Active,2026-06-24T11:34:00Z,2026-06-24T11:59:02Z,25
1889482,North,HOSHIARPUR,PANWAN,Unplanned,Active,2026-06-24T11:15:00Z,2026-06-24T11:55:00Z,40
1889480,Border,SUB URBAN AMRITSAR,INDUSTRY MAJITHA,Unplanned,Active,2026-06-24T11:05:29Z,2026-06-24T12:38:38Z,93
