outage_id,Zone,Circle,Feeder,Type of Outage,Status,Start Time,End Time,Diff in mins
1899190,Central,CITY EAST LUDHIANA,11 KV KIDWAI NAGAR,Planned,Active,2026-07-16T15:00:00Z,2026-07-16T18:00:00Z,180
1899189,Central,CITY EAST LUDHIANA,Ganesh Nagar,Planned,Active,2026-07-16T15:00:00Z,2026-07-16T18:00:00Z,180
1899188,Central,CITY EAST LUDHIANA,D007-11 KV VIJAY NAGAR,Planned,Active,2026-07-16T15:00:00Z,2026-07-16T18:00:00Z,180
1899187,Central,CITY EAST LUDHIANA,TAJ GANJ,Planned,Active,2026-07-16T15:00:00Z,2026-07-16T18:00:00Z,180
1899186,Central,CITY EAST LUDHIANA,RAJ SANDEEP,Planned,Active,2026-07-16T15:00:00Z,2026-07-16T18:00:00Z,180
1899651,West,FEROZPUR,Makhu Gate,Planned,Active,2026-07-16T12:00:00Z,2026-07-16T14:00:00Z,120
1899650,West,FEROZPUR,POLYTECHNIC COLLEGE,Planned,Active,2026-07-16T12:00:00Z,2026-07-16T14:00:00Z,120
1899649,West,FEROZPUR,SODHE WALA,Planned,Active,2026-07-16T12:00:00Z,2026-07-16T14:00:00Z,120
1899648,West,FEROZPUR,DANA MANDI,Planned,Active,2026-07-16T12:00:00Z,2026-07-16T14:00:00Z,120
1899805,North,JALANDHAR,BABA VISHKARMA MANDIR,Unplanned,Active,2026-07-16T10:53:00Z,2026-07-16T11:10:00Z,17
1899803,West,MUKATSAR,11 KV Alamgarh,Unplanned,Active,2026-07-16T10:50:35Z,2026-07-16T11:50:38Z,60
1899802,Border,GURDASPUR,Tharial,Unplanned,Active,2026-07-16T10:50:00Z,2026-07-16T12:00:00Z,70
1899801,North,JALANDHAR,11KV Mithapur Feeder,Unplanned,Active,2026-07-16T10:50:00Z,2026-07-16T11:29:00Z,39
1899800,Central,CITY WEST LUDHIANA,11 KV SCADA,Planned,Active,2026-07-16T10:47:32Z,2026-07-16T12:00:37Z,73
1899799,Central,CITY WEST LUDHIANA,Aarti Chowk,Planned,Active,2026-07-16T10:47:32Z,2026-07-16T12:00:37Z,73
1899798,Central,CITY WEST LUDHIANA,Malhar Road,Planned,Active,2026-07-16T10:47:32Z,2026-07-16T12:00:37Z,73
1899797,Central,CITY WEST LUDHIANA,SIGMA,Planned,Active,2026-07-16T10:47:32Z,2026-07-16T12:00:37Z,73
1899796,Central,CITY WEST LUDHIANA,New Sec. School,Planned,Active,2026-07-16T10:47:32Z,2026-07-16T12:00:37Z,73
1899795,Central,CITY WEST LUDHIANA,Church Feeder,Planned,Active,2026-07-16T10:47:32Z,2026-07-16T12:00:37Z,73
1899794,Central,CITY WEST LUDHIANA,H-Block Market,Planned,Active,2026-07-16T10:47:32Z,2026-07-16T12:00:37Z,73
1899793,Central,CITY WEST LUDHIANA,Durga Mandir,Planned,Active,2026-07-16T10:47:32Z,2026-07-16T12:00:37Z,73
1899792,Central,CITY WEST LUDHIANA,Deepak Hospital,Planned,Active,2026-07-16T10:47:32Z,2026-07-16T12:00:37Z,73
1899804,West,BATHINDA,Patel Nagar,Planned,Active,2026-07-16T10:45:00Z,2026-07-16T13:00:00Z,135
1899791,North,JALANDHAR,NEW SHANKAR,Unplanned,Active,2026-07-16T10:45:00Z,2026-07-16T11:00:00Z,15
1899790,North,JALANDHAR,D BLOCK,Unplanned,Active,2026-07-16T10:45:00Z,2026-07-16T11:00:00Z,15
1899380,West,BATHINDA,BABA HARNAM SINGH,Planned,Active,2026-07-16T10:45:00Z,2026-07-16T14:00:00Z,195
1899787,Central,CITY WEST LUDHIANA,11 KV Happy colony,Planned,Active,2026-07-16T10:42:00Z,2026-07-16T11:04:00Z,22
1899788,South,PATIALA,UPS RAJPURA,Unplanned,Active,2026-07-16T10:40:00Z,2026-07-16T12:00:00Z,80
1899783,Central,KHANNA,Sangtpura,Unplanned,Active,2026-07-16T10:39:00Z,2026-07-16T11:28:00Z,49
1899786,East,Zirakpur,HARMILAP NAGAR,Unplanned,Active,2026-07-16T10:37:00Z,2026-07-16T12:24:00Z,107
1899776,Border,GURDASPUR,11 KV BHANDHRI MOHALLA,Planned,Active,2026-07-16T10:35:00Z,2026-07-16T12:00:00Z,85
1899781,South,SANGRUR,MAKORD SAHIB(new+old),Unplanned,Active,2026-07-16T10:33:38Z,2026-07-16T12:06:43Z,93
1899779,West,BATHINDA,KOTHE DHABAN WALE,Planned,Active,2026-07-16T10:31:00Z,2026-07-16T13:00:00Z,149
1899784,South,PATIALA,SYL (F.P),Unplanned,Active,2026-07-16T10:30:00Z,2026-07-16T12:00:00Z,90
1899780,North,JALANDHAR,L.I.C,Unplanned,Active,2026-07-16T10:30:00Z,2026-07-16T11:10:00Z,40
1899789,Border,TARN TARAN,11 KV Industrial Feeder,Unplanned,Active,2026-07-16T10:25:00Z,2026-07-16T13:00:00Z,155
1899785,Border,GURDASPUR,SARJACHACK,Unplanned,Active,2026-07-16T10:25:00Z,2026-07-16T12:00:00Z,95
1899775,Central,KHANNA,Shastri Nagar,Unplanned,Active,2026-07-16T10:24:00Z,2026-07-16T11:24:00Z,60
1899774,Central,CITY EAST LUDHIANA,SAHIBANA,Unplanned,Active,2026-07-16T10:23:00Z,2026-07-16T11:00:00Z,37
1899777,West,MUKATSAR,11 KV SITO,Unplanned,Active,2026-07-16T10:20:00Z,2026-07-16T11:18:00Z,58
1899772,Border,GURDASPUR,Model Town,Unplanned,Closed,2026-07-16T10:20:00Z,2026-07-16T10:45:00Z,25
1899769,North,KAPURTHALA,UPS MODEL TOWN,Planned,Active,2026-07-16T10:20:00Z,2026-07-16T11:20:00Z,60
1899768,North,KAPURTHALA,UPS RAIPUR PEERBUX,Planned,Active,2026-07-16T10:20:00Z,2026-07-16T11:20:00Z,60
1899770,South,SANGRUR,11KV UPS TOGAWAL,Unplanned,Active,2026-07-16T10:18:23Z,2026-07-16T11:00:36Z,42
1899773,North,KAPURTHALA,J.J. CLUB,Unplanned,Closed,2026-07-16T10:17:00Z,2026-07-16T10:50:00Z,33
1899771,Border,TARN TARAN,UPS AHMADPUR,Unplanned,Active,2026-07-16T10:15:00Z,2026-07-16T12:00:00Z,105
1899767,North,NAWANSHAHR,FATEPUR KHURD,Unplanned,Closed,2026-07-16T10:15:00Z,2026-07-16T10:36:00Z,21
1899782,North,JALANDHAR,LADHAYWALI,Unplanned,Active,2026-07-16T10:13:00Z,2026-07-16T12:00:00Z,107
1899778,North,JALANDHAR,DANA MANDI RAIPUR,Unplanned,Closed,2026-07-16T10:10:00Z,2026-07-16T10:35:00Z,25
1899765,North,NAWANSHAHR,SIMBAL MAJARA,Unplanned,Active,2026-07-16T10:10:00Z,2026-07-16T12:10:00Z,120
1899764,West,BATHINDA,MODEL TOWN PHASE -3,Unplanned,Active,2026-07-16T10:09:00Z,2026-07-16T12:00:00Z,111
1899766,East,ROPAR,11KV Belian UPS FEEDER,Unplanned,Closed,2026-07-16T10:08:00Z,2026-07-16T10:28:00Z,20
1899763,South,SANGRUR,Sherpur Road,Unplanned,Active,2026-07-16T10:01:00Z,2026-07-16T12:00:00Z,119
1899379,North,HOSHIARPUR,JAIJON,Planned,Active,2026-07-16T10:00:30Z,2026-07-16T13:00:30Z,180
1899378,North,HOSHIARPUR,RAILWAY STATION,Planned,Active,2026-07-16T10:00:30Z,2026-07-16T13:00:30Z,180
1899377,North,HOSHIARPUR,MEGHOWAL,Planned,Active,2026-07-16T10:00:30Z,2026-07-16T13:00:30Z,180
1899703,Border,GURDASPUR,DODWAN UPS,Planned,Active,2026-07-16T10:00:00Z,2026-07-16T13:00:00Z,180
1899702,Border,GURDASPUR,Bahmani,Planned,Active,2026-07-16T10:00:00Z,2026-07-16T13:00:00Z,180
1899761,West,MUKATSAR,Bajak,Unplanned,Active,2026-07-16T09:55:00Z,2026-07-16T12:00:00Z,125
1899760,North,HOSHIARPUR,Pandori Attwal,Unplanned,Closed,2026-07-16T09:55:00Z,2026-07-16T10:30:00Z,35
