outage_id,Zone,Circle,Feeder,Type of Outage,Status,Start Time,End Time,Diff in mins
1911997,West,MUKATSAR,11 KV Telupura,Unplanned,Active,2026-07-31T11:13:09Z,2026-07-31T11:43:19Z,30
1911996,East,Zirakpur,DEEPAK PIPE,Unplanned,Active,2026-07-31T11:09:00Z,2026-07-31T11:47:00Z,38
1911995,South,BARNALA,Kattu CAT-I,Planned,Active,2026-07-31T11:00:00Z,2026-07-31T15:00:00Z,240
1911993,East,ROPAR,NILET,Unplanned,Active,2026-07-31T10:51:00Z,2026-07-31T13:00:00Z,129
1911994,Border,TARN TARAN,JAWANDY,Unplanned,Active,2026-07-31T10:50:00Z,2026-07-31T13:00:00Z,130
1911991,West,MUKATSAR,11 KV Rajiv Nagar,Unplanned,Active,2026-07-31T10:36:19Z,2026-07-31T11:16:26Z,40
1911992,Border,TARN TARAN,Dhotian UPS (KMK),Unplanned,Active,2026-07-31T10:35:00Z,2026-07-31T13:00:00Z,145
1911978,North,JALANDHAR,11KV SALEMPUR,Planned,Active,2026-07-31T10:30:00Z,2026-07-31T12:30:00Z,120
1911989,Border,GURDASPUR,HABIBPUR,Unplanned,Closed,2026-07-31T10:28:00Z,2026-07-31T10:54:00Z,26
1911988,Border,GURDASPUR,PAKHOWAL,Unplanned,Closed,2026-07-31T10:20:00Z,2026-07-31T10:54:00Z,34
1911987,Border,GURDASPUR,NADALA,Unplanned,Closed,2026-07-31T10:20:00Z,2026-07-31T10:56:00Z,36
1911998,Central,SUB URBAN LUDHIANA,CITY-6,Unplanned,Active,2026-07-31T10:19:00Z,2026-07-31T12:17:00Z,118
1911990,East,Zirakpur,Bauli Sahib,Unplanned,Active,2026-07-31T10:13:00Z,2026-07-31T10:53:00Z,40
1911986,West,FEROZPUR,COURT FEEDER,Planned,Active,2026-07-31T10:13:00Z,2026-07-31T12:10:00Z,117
1911977,North,JALANDHAR,SARSWATI VIHAR,Planned,Active,2026-07-31T10:00:00Z,2026-07-31T12:00:00Z,120
1911937,South,PATIALA,Model Town 220kv,Planned,Active,2026-07-31T10:00:00Z,2026-07-31T14:00:00Z,240
1911984,West,MUKATSAR,11 KV Sappan wali,Unplanned,Active,2026-07-31T09:52:31Z,2026-07-31T10:23:04Z,30
1911983,North,HOSHIARPUR,KALYANPUR,Unplanned,Closed,2026-07-31T09:50:00Z,2026-07-31T10:35:00Z,45
1911982,South,SANGRUR,Saho Patti,Planned,Active,2026-07-31T09:48:30Z,2026-07-31T11:17:38Z,89
1911985,North,JALANDHAR,INDUSTRIAL AREA 2,Unplanned,Closed,2026-07-31T09:37:00Z,2026-07-31T10:39:00Z,62
1911981,Border,SUB URBAN AMRITSAR,CIVIL LINE DUPLICATE,Unplanned,Active,2026-07-31T09:24:00Z,2026-07-31T09:42:00Z,18
1911979,Border,SUB URBAN AMRITSAR,CIVIL LINE DUPLICATE,Unplanned,Closed,2026-07-31T09:15:00Z,2026-07-31T09:46:00Z,31
1911980,East,Zirakpur,GBM,Unplanned,Closed,2026-07-31T08:53:00Z,2026-07-31T09:27:00Z,34
1911976,South,SANGRUR,M K Road,Unplanned,Closed,2026-07-31T08:50:00Z,2026-07-31T09:12:00Z,22
1911974,East,Zirakpur,ZIRAKPUR-1,Unplanned,Closed,2026-07-31T08:04:00Z,2026-07-31T08:58:00Z,54
1911975,Border,TARN TARAN,NAUSHEHRA PANNUN URBAN,Unplanned,Closed,2026-07-31T08:01:00Z,2026-07-31T08:35:00Z,34
1911973,South,PATIALA,Shahi Samadhan,Unplanned,Closed,2026-07-31T08:00:00Z,2026-07-31T08:10:00Z,10
1911971,East,Zirakpur,ECME,Unplanned,Closed,2026-07-31T07:47:00Z,2026-07-31T08:17:00Z,30
1911972,Central,KHANNA,Main Bazar,Unplanned,Closed,2026-07-31T07:44:00Z,2026-07-31T09:02:00Z,78
1911970,East,Zirakpur,TRISHLA,Unplanned,Closed,2026-07-31T07:29:00Z,2026-07-31T08:32:00Z,63
1911969,East,Zirakpur,SAVITRYGREEN,Unplanned,Closed,2026-07-31T06:42:00Z,2026-07-31T07:55:00Z,73
1911968,East,Zirakpur,SANULI,Unplanned,Closed,2026-07-31T05:20:00Z,2026-07-31T05:45:00Z,25
1911967,East,Zirakpur,11KV Dream Home,Unplanned,Closed,2026-07-31T04:20:00Z,2026-07-31T05:05:00Z,45
1911966,South,PATIALA,Thuhi Road,Unplanned,Closed,2026-07-31T00:40:00Z,2026-07-31T01:10:00Z,30
1911965,Border,SUB URBAN AMRITSAR,SHIV NAGAR,Unplanned,Closed,2026-07-31T00:40:00Z,2026-07-31T01:40:00Z,60
1911964,East,Zirakpur,LALRU CITY,Unplanned,Closed,2026-07-30T22:47:00Z,2026-07-30T23:09:00Z,22
1911954,East,Zirakpur,SINGHPURA,Unplanned,Closed,2026-07-30T22:30:00Z,2026-07-30T23:25:00Z,55
1911953,East,Zirakpur,RAIL VIHAR,Unplanned,Closed,2026-07-30T22:30:00Z,2026-07-30T23:11:00Z,41
1911952,East,Zirakpur,GREEN LOTUS,Unplanned,Closed,2026-07-30T22:30:00Z,2026-07-30T23:05:00Z,35
1911951,South,PATIALA,11 KV BABU SINGH colony,Unplanned,Closed,2026-07-30T22:15:00Z,2026-07-30T22:30:00Z,15
1911946,East,Zirakpur,DEEPAK PIPE,Unplanned,Closed,2026-07-30T22:06:00Z,2026-07-30T22:19:00Z,13
1911950,West,FEROZPUR,MADHRE,Planned,Closed,2026-07-30T22:00:00Z,2026-07-30T23:56:00Z,116
1911945,East,MOHALI,JANTI DEVI,Unplanned,Closed,2026-07-30T22:00:00Z,2026-07-30T23:18:00Z,78
1911949,East,Zirakpur,BALTANA,Unplanned,Closed,2026-07-30T21:50:00Z,2026-07-30T22:19:00Z,29
1911963,South,PATIALA,Civil Hospital Nabha,Unplanned,Closed,2026-07-30T21:45:40Z,2026-07-30T22:25:40Z,40
